character,cimage,simage,?,?,sitem,3p+,cdesc,sdesc,artist
,Plus,,,,,,,,
Dark Judas,,,,,Dark Arts,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Dark Arts","Each time a player
rolls a 6, gain 2¢.
------------------------------
Each time another
player dies, loot 1.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Whore of Babylon,,,,,Gimpy,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Gimpy","Each time you take
damage, choose one-

•Gain 2¢.
------------------------------
•Loot 1, then discard
a loot card.
------------------------------
•Gain +2 AT till end of turn.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Guppy,,,,,Infestation,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Infestation","↷: Loot 2, then
discard 1
loot card.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character art by @rojen241
Starting item art by @KrystalFlamingo"
Bum-bo,,,,,Bag-o-Trash,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Bag-o-Trash","$: Pay 3¢:

Play an additional
loot card this turn.
------------------------------
$: Pay 4¢: Loot 1.
------------------------------
$: Pay 6¢: Deal 1 damage
to a monster or player.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @KrystalFlamingo"
,Requiem,,,,,,,,
Bethany,,,,,Book of Virtues,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Book of Virtues","Each time you deal
combat damage, roll-

5-6: Deal 1 damage to a
monster or player.
------------------------------
Each time you kill a monster,
choose another player.  You
and that player each loot 1.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
Jacob & Esau,,,,,Sibling Rivalry,TRUE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Sibling Rivalry","↷: Choose a non-active player.
The next time the active
player declares an attack
this turn, the chosen player must
make an attack roll after each
attack roll the active player makes
for the attack. If that monster dies
this attack, the chosen player
also gains the rewards.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Broken,,,,,Spindown Dice,TRUE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Spindown Dice","↷: Destroy an item.
If it was controlled
by a player, they may
steal an item from
the shop.
------------------------------
At the end of your turn, roll-

4-6: Recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Dauntless,,,,,Hypercoagulation,FALSE,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Hypercoagulation","At the start of your turn,
put a counter on this.
------------------------------
You have +1 HP for each
counter on this.
------------------------------
At the end of your turn, if
this has 3+ counters, remove
all of them and loot 3.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Hoarder,,,,,Bag of Crafting,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Bag of Crafting","$: Discard a loot card:

Put a counter on this.
------------------------------
$: Remove 4 counters
from this:

Gain +1 treasure.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Deceiver,,,,,Ceremonial Blade,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Ceremonial Blade","↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn, loot
1 and discard a loot card.
------------------------------
Each time you kill a
monster, loot 1.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Soiled,,,,,IBS,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

IBS","$: Discard a loot card:

Choose one-

•Cancel your attack on a monster.
------------------------------
•Gain 3¢.
------------------------------
$: Discard 2 loot cards:

Cancel the ↷ or $ ability of
an item or a loot being played.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Curdled,,,,,Sumptorium,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Sumptorium","Each time you take damage,
put a counter on this.
------------------------------
$: Remove 2 counters
from this:

A monster gains
-1 DC till end of turn.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Savage,,,,,Berserk,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Berserk","You may attack an
additional time on
your turn.
------------------------------
Each time you kill a
monster, gain +1 HP
till end of turn.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Benighted,,,,,Hemoptysis,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Hemoptysis","↷: Put a counter on this.
------------------------------
$: Remove a counter from this:

Choose a monster.
Its AT becomes 1.
------------------------------
$: Remove 2 counters from this:

Deal 1 damage to up to 2
monsters or players.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
"The Enigma
/
amginE ehT",,,,,Flip,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Flip

The Enigma
-------------------------------------------------------------
amginE ehT

HP: 1 | AT: 2

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Do not start the game
with this side face up.","Each time you die, after
paying penalties, flip
your character if able
then recharge it. Discard
your hand and loot 3.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Capricious,,,,,Glitch,FALSE,"HP: 2 | AT: 1

↷: Choose one-

•Play an additional
loot card this turn.
------------------------------
•Put a shop item into discard.
------------------------------
Starting item:

Glitch","As your turn starts, choose a
shop item. This gains the abilities
of that item till end of turn.
------------------------------
As your turn ends, choose a
shop item. This gains the abilities
of that item till the start of
your next turn. Recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Baleful,,,,,Soulbond,TRUE,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
While you control 1 or 2 souls,
you have +1 AT. If you control 3+
souls, you have +2 AT instead.
------------------------------
Starting item:

Soulbond","Each time you die,
choose another player.
That player dies.
------------------------------
You don't lose ¢ or
discard loot cards when
paying the death penalty.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Harlot,,,,,Gello,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Gello","↷: Choose a monster being
attacked. Heal that
monster to full HP, then
deal damage equal to the
number of HP healed in this way
to another monster. If it's not
your turn, cancel the attack and
the active player may attack
an additional time this turn.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Miser,,,,,Keeper's Bargain,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Keeper's Bargain","↷: Each other player
may choose to gain
1¢. Gain 1¢, then 1¢ for
each player who did.
------------------------------
Shop items you purchase
cost 3¢ less.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Empty,,,,,Abyss,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Abyss","↷: Destroy an item
you control. If
you do, put a
counter on this.
------------------------------
You have +1 AT for every
2 counters on this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Fettered,,,,,Dead Weight,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Dead Weight","You take no combat damage
on attack rolls of 1.
------------------------------
↷: Cancel the triggered ability of
a monster or non-eternal item.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-",Character and starting item art by @rojen241
The Zealot,,,,,Lemegeton,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Lemegeton","↷: Gain +1 treasure.
The next time your
turn ends, destroy an
item you control.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character art by @rojen241
Starting item art by @Yazawa_Akio"
The Deserter,,,,,"Anima Sola
/
The Revenant",FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Anima Sola","↷: Flip this item.
------------------------------
When this is flipped
to this side, loot 1.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard)

Anima Sola
---------------------------------------------------------------------------------
The Revenant

HP: 2 | DC: 3+ | AT: 2

This item can be attacked.
------------------------------
When this reaches 0 HP, the player
attacking this gains its reward,
then you flip it. That player may
attack an additional time this turn.
------------------------------
-Eternal-
------------------------------
Rewards: Loot 2","The Deserter and The Revenant art by @rojen241
Anima Sola art by @Yazawa_Akio"
Flash Isaac,,,,,Classic Roller,TRUE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Classic Roller","↷: Choose a dice roll. Its
controller rerolls it,
but rolls 2 dice instead.
They choose another player.
That player chooses one of
the rolls as the result.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character art by @TikaratheMew
Starting item art by @HamBerry_art

Unlocked via $6,660,000 total backed on the Requiem Kickstarter."
Eden (Requiem 1),,,N/A,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",N/A,Art by @rojen241
Eden (Requiem 2),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",,Art by @rojen241
,Promos,,,,,,,,
,Star,,,,,,,,
Eden (Star 1),,,N/A,,,N/A,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game
look at the top 3 cards of
the treasure deck, choose
one, it becomes your starting
item and gains eternal.",N/A,"Art by @rojen241

This card was included with all orders from the Studio71 Isaac store made between January 18th, 2020, to February 14th, 2020.  Additionally, it was included with all orders from the Nicalis store for orders $18.99 or higher in Isaac merch, for a few weeks after February 11th, 2020 and with purchases of Tapeworm through the Nicalis store for a period of time starting January 16, 2021.


This Eden variant is foil-only."
Eden (Star 2),,,,,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game
look at the top 3 cards of
the treasure deck, choose
one, it becomes your starting
item and gains eternal.",,"Art by @rojen241

Along with The Bloat (Promo 2), this foil card was provided to all backers of the Tapeworm Kickstarter who subscribed to the game's newsletter prior to the Kickstarter's launch."
Eden (Star 3),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.

FourSouls.com",,"Art by @Sony_Shock

This card was given to guests of various conventions where Maestro Media was in attendance in 2022."
,Tapeworm,,,,,,,,
Tapeworm (character),,,,,Pink Proglottid,N/A,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Pink Proglottid","↷: Add or remove an egg counter
from a player or monster.
------------------------------
Each time player or monster with
an egg counter dies, each player
without an egg counter loots equal
to the number of egg counters
on that player or monster.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @TikaratheMew

As with the rest of the Tapeworm promos, these cards are foil-only."
,Unboxing,,,,,,,,
Isaac (Unboxing),,,N/A,,,FALSE,"
HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

The D6",N/A,"Art by @edmundmcmillen

This card is included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
Cain (Unboxing),,,,,,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
If you control this as the
game starts, you go first.
------------------------------
Starting item:

Sleight of Hand",,"Art by @edmundmcmillen

This card is included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
The Lost (Unboxing),,,,,,FALSE,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:

Holy Mantle

(+1 soul)",,"Art by @edmundmcmillen

This card is included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
,Retro,,,,,,,,
Eden (Retro),,,N/A,,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.

When you start the game, look at
the top 3 cards of the treasure
deck, choose one, it becomes your
starting item and gains eternal.
Put the rest on the bottom of
the deck in any order.",N/A,"Art by @MattKap1

Along with 1-Up (Retro), this is a promotional First Edition card used to promote The Binding of Isaac: Repentance - Leviathan Edition from Nicalis."
,Warp Zone,,,,,,,,
Ash,,,,,Ball of Tumors,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""FUUUUUUUUUUUUU
------------------------------
Starting item:

Ball of Tumors","This starts at level 6.
------------------------------
If this is higher than level 0,
instead of paying the death
penalty, this levels down.
------------------------------
Level 2+: You may play an
additional loot card
on your turn.
------------------------------
Level 4+: At the end of your turn,
discard a loot card
and loot 2.
------------------------------
-Eternal-","Character and item art by @Von_Grimsworth

These cards are a reference to the video game, The End is Nigh.

Unlocked via the Downpour social goals to-do list during the Requiem Kickstarter."
The Silent,,,,,Ring of the Snake,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Ring of the Snake","Each time you declare
an attack, recharge your
character and loot 1.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character and starting item art by @Von_Grimsworth

These cards are a reference to the video game, Slay the Spire.

Unlocked via The Mausoleum social goals to-do list during the Requiem Kickstarter."
The Knight,,,,,Focus,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Focus","Each time you gain or are
given a soul, this levels up.
------------------------------
Level 1+: You have +1 AT for your first
attack roll each turn.
------------------------------
Level 2+: The first time you activate
your character each round,
recharge it.
------------------------------
Level 3+: Prevent the first instance of
damage you would take each turn.
------------------------------
-Eternal-","Character and starting item art by @Von_Grimsworth

These cards are a reference to the video game, Hollow Knight.

Unlocked via the Dross social goals to-do list during the Requiem Kickstarter."
Pink Knight,,,,,Lollypop,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Lollypop","Each time you gain rewards
from killing monsters, choose
another player. They also
gain the rewards.
------------------------------
Each time another player
gains rewards from killing
monsters, you also gain half
the rewards rounded down.
------------------------------
-Eternal-","Character and starting item art by @Yazawa_Akio

These cards are a reference to the video game, Castle Crashers.

Unlocked via the Ashpit social goals to-do list during the Requiem Kickstarter."
Psycho Goreman,,,,,Hunky Boys,FALSE,"HP: 2 | AT: 2

↷: Play an additional
loot card this turn.
""I do not care
for hunky boys...""
------------------------------
Starting item:

Hunky Boys","You have +1 HP while
it's not your turn.
------------------------------
-Eternal-
""Or do I...?""","Character art by @Von_Grimsworth
Starting item art by @Yazawa_Akio

These cards are a reference to the film, PG: Psycho Goreman.

Unlocked via the Gehenna social goals to-do list during the Requiem Kickstarter."
Bum-bo the Weird,,,,,Strange Marble,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Bum-bo just remember another
thing! There more Bum-bo!""
------------------------------
Starting item:

Strange Marble","Each time a monster or player
dies, you may recharge an item.
------------------------------
At the start of your turn,
you may reveal the top card
of the loot deck. If it's a non-
trinket, non-ambush card, each
player may play a copy of it
without using a loot play.
------------------------------
-Eternal-","Art by @TikaratheMew

These cards are a reference to the video game, The Legend of Bum-bo.

Unlocked via The White Light social goals to-do list during the Requiem Kickstarter."
Abe,,,,,Possession,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Follow Me!""
------------------------------
Starting item:

Possession","At the start of your turn, you
may recharge each item another
player controls. Till end of
turn you may activate their
items as though you control
them. At the end of your turn,
that player loots 2.
------------------------------
-Eternal-","Character and starting item art by @Yazawa_Akio

These cards are a reference to the video game, Oddworld: Abe's Oddysee.

Unlocked via The Credits social goals to-do list during the Requiem Kickstarter."
Baba,,,,,Is You,FALSE,"HP: 2 | AT: 1

↷: Choose another player.
They reveal their hand.
Choose a non-trinket, non-ambush
loot card in their hand. Till end
of turn, you may play a copy of
it without using a loot play.
------------------------------
Starting item:

Is You","As your turn starts,
choose an eternal item
another player controls.
This gains all of that item's
abilities till the start
of your next turn.
------------------------------
-Eternal-","Character art by @HamBerry_art

These cards are a reference to the video game, Baba Is You.

Unlocked via The End social goals to-do list during the Requiem Kickstarter."
Captain Viridian,,,,,Gravity,FALSE,"HP: 2 | AT: 1

↷: Recharge an
eternal item.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Gravity","↷: Flip a dice roll.
(The roll becomes
7 - the current result.)
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character and starting item art by @HamBerry_art

These cards are a reference to the video game, VVVVVV.

Unlocked via The Planetarium social goals to-do list during the Requiem Kickstarter."
Yung Venuz,,,,,Pop Pop!,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
Yung Venuz is cool.
------------------------------
Starting item:

Pop Pop","↷: Copy a
non-trinket,
non-ambush loot
being played.
------------------------------
-Eternal-
(This can't be destroyed
or put into discard.)","Character and starting item art by @Yazawa_Akio

These cards are a reference to the video game, Nuclear Throne.

Unlocked via the Dross social goals to-do list during the Requiem Kickstarter."
Boyfriend,,,,,Girlfriend,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:

Girlfriend","Each time you roll the same
result twice in a row on each of
your turns, put a counter on this.
------------------------------
Each time you die, remove half the
counters from this rounded down.
------------------------------
You have +1 HP for every
2 counters on this.
------------------------------
↷: Subtract 1 from
a roll.
------------------------------
-Eternal-","Character and starting item art by @HamBerry_art

These cards are a reference to the video game, Friday Night Funkin'.

Unlocked via the Ashpit social goals to-do list during the Requiem Kickstarter."
Blind Johnny,,,,,Johnny's Knives,TRUE,"HP: 2 | AT: 1

↷: Choose a player. They
give you a loot card.
""It's a frightening
world to be alone in.""
------------------------------
Starting item:

Johnny's Knives","↷: Deal 1 damage
to a monster
or player.
------------------------------
Each time another player
dies, recharge this.
------------------------------
-Eternal-","Character and starting item art by @JhonenV

These cards are a reference to the comic book, Johnny the Homicidal Maniac.

Unlocked via the Gehenna social goals to-do list during the Requiem Kickstarter."
Salad Fingers,,,,,Rusty Spoons,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""I like rusty spoons.
I like to touch them.""
------------------------------
Starting item:

Rusty Spoons","At the start of your turn
each player loots 1.
------------------------------
↷: Choose a player. They put
a random loot card from
their hand under this. Till end of
turn, you may play that loot card
without using a loot play.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character and starting item art by @Von_Grimsworth

These cards are a reference to the web series, Salad Fingers.

Unlocked via The Corpse social goals to-do list during the Requiem Kickstarter."
Blue Archer,,,,,Bow and Arrow,FALSE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
The Last of the Order
------------------------------
Starting item:

Bow and Arrow","↷: Put a bounty counter
on a monster.
------------------------------
Monsters with a bounty
counter on them have -1 DC.
------------------------------
Each time a monster with a bounty
counter on it dies, gain 3¢.
------------------------------
-Eternal-","Character and starting item art by @Yazawa_Akio

These cards are a reference to the video game, TowerFall.

Unlocked via the Home social goals to-do list during the Requiem Kickstarter."
Crewmate,,,,,Emergency Meeting!,TRUE,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
While voting, you may
vote an additional time.
------------------------------
Starting item:

Emergency Meeting!","↷: Each player votes on
a monster or player.
Each monster or player
with the most votes or tied
for the most takes 1 damage.
------------------------------
At the end of your
turn, recharge this.
------------------------------
-Eternal-","Character art by @rojen241
Starting item art by @Yazawa_Akio

These cards are a reference to the video game, Among Us.

Unlocked via the Static social goals to-do list during the Requiem Kickstarter."
