title,image,3p+,card_type,description,artist
Meat!,,FALSE,Passive Items (44),"You have +1 to
attack rolls.
------------------------------
""Every moving thing that
liveth shall be meat for you.""
Genesis 9:3
",Art by TAR_HEAD
Polydactyly,,FALSE,Passive Items (44),"You may play an
additional loot
card on your turn.
------------------------------
You have +1 AT for
the first attack
roll each turn.",Art by TAR_HEAD
Belly Button,,FALSE,Passive Items (44),"You may play an
additional loot
card on your turn.
------------------------------
Each time you
take damage, you may
recharge your character.",Art by TAR_HEAD
Brimstone,,TRUE,Passive Items (44),"+1 AT
------------------------------
Each time you deal
combat damage to a
monster, deal 1 damage
to another player.",Art by @KrystalFlamingo
Ipecac,,FALSE,Passive Items (44),"+1 AT
------------------------------
Each time you roll
an attack roll of 6,
deal 1 damage to
each other player.",Art by TAR_HEAD
There's Options,,FALSE,Passive Items (44),"You may look at
the top card of the
treasure deck at any
time on your turn.
------------------------------
You may purchase an
additional time on
your turn.",Art by TAR_HEAD
Champion Belt,,FALSE,Passive Items (44),"You have +1 AT for
your first attack
roll each turn.
------------------------------
You may attack an
additional time on
your turn.",Art by TAR_HEAD
Monstro's Tooth,,FALSE,Passive Items (44),"At the start of
your turn, choose
a player at random.
That player destroys
an item they control.",Art by TAR_HEAD
Dry Baby,,FALSE,Passive Items (44),"Damage you would take
is reduced to 1.
------------------------------
""He protects all His bones;
not one of them is broken.""
Psalm 34:20",Art by @TikaratheMew                                         
Goat Head,,FALSE,Passive Items (44),"At the end of your
turn, you may discard
any number of loot cards,
then loot equal to the
number of cards
discarded in this way.",Art by @KrystalFlamingo
The Blue Map,,FALSE,Passive Items (44),"At the end of
your turn, look at
the top 4 cards of
the treasure deck.
Put them back in
any order.",Art by TAR_HEAD
The Compass,,FALSE,Passive Items (44),"At the end of
your turn, look at
the top 4 cards of
the loot deck.
Put them back in
any order.",Art by TAR_HEAD
The Map,,FALSE,Passive Items (44),"At the end of
your turn, look at
the top 4 cards of
the monster deck.
Put them back in
any order.",Art by TAR_HEAD
Fanny Pack,,FALSE,Passive Items (44),"Each time you
take damage,
loot 1.",Art by TAR_HEAD
The Habit,,FALSE,Passive Items (44),"The first time
you take damage
each turn, you may
recharge an item.",Art by @TikaratheMew
Cambion Conception,,FALSE,Passive Items (44),"Each time you take
damage, put counters on
this equal to the amount
of damage taken. Then,
if this has 6+ counters,
remove 6 counters from
this and gain +1 treasure.",Art by TAR_HEAD
Greed's Gullet,,FALSE,Passive Items (44),"Each time you die, before
paying penalties, gain 8¢.
------------------------------
""The righteousness of the
upright will deliver them,
but the treacherous will be
caught by their own greed.""
Proverbs 11:6",Art by TAR_HEAD
Suicide King,,FALSE,Passive Items (44),"Each time you die, before
paying penalties, loot 3.
------------------------------
""And many of them that sleep
in the dust of the Earth shall
awake, some to everlasting
life, and some to shame and
everlasting contempt.""
Daniel 12:2",Art by @TikaratheMew                                         
Trinity Shield,,TRUE,Passive Items (44),"Other players can't
play loot cards or
activate items on
your turn.",Art by @TikaratheMew
Steamy Sale!,,FALSE,Passive Items (44),"Shop items you purchase
cost 5¢ less.
------------------------------
""So Abram brought him all
these animals and cut each of
them in half, down the middle.""
Genesis 15:10",Art by TAR_HEAD
Shadow,,FALSE,Passive Items (44),"If another player would
pay the death penalty,
you choose what item they
would destroy and you
gain any loot cards and ¢
they would lose.",Art by TAR_HEAD
Shiny Rock,,FALSE,Passive Items (44),"Each time you
activate an item,
gain 1¢.
------------------------------
""Gods of silver and Gods of
gold you are not to make
for yourselves.""
Exodus 20:23",Art by @TikaratheMew
The Midas Touch,,FALSE,Passive Items (44),"Each time a
monster dies,
gain 3¢.",Art by TAR_HEAD
Eden's Blessing,,FALSE,Passive Items (44),"At the end of your
turn, if you have 0¢,
gain 6¢.
------------------------------
""Thou shalt open thine hand
wide unto thy brother, to thy
poor, and to thy needy.""
Deuteronomy 15:11",Art by @TikaratheMew                                         
The Polaroid,,FALSE,Passive Items (44),"At the end of your turn,
if you have 0 loot cards
in your hand, loot 2.
------------------------------
""One whose father and mother
are not married may not come
into the meeting of the
Lord's people.""
Deuteronomy 23:2",Art by @TikaratheMew                                         
Starter Deck,,FALSE,Passive Items (44),"At the end of your
turn, if you have 8
or more loot cards
in your hand, loot 2.",Art by TAR_HEAD
Restock,,FALSE,Passive Items (44),"At the start of
your turn, you may
put any number of
shop items into
discard.",Art by TAR_HEAD
Dark Bum,,FALSE,Passive Items (44),"At the start of your
turn, roll-

1-2: Gain 3¢.
------------------------------
3-4: Loot 1.
------------------------------
5-6: Take 1 damage.",Art by @KrystalFlamingo
Empty Vessel,,FALSE,Passive Items (44),"While you have 0 loot
cards in your hand,
you have +1 AT.
------------------------------
While you have 0¢,
you have +1 to
attack rolls.",Art by @TikaratheMew
Bum-bo!,,FALSE,Passive Items (44),"If you would gain any number of ¢,
this levels up by that much instead.
------------------------------
Level 1+: You have +2 to your first
attack roll each turn.
------------------------------
Level 10+: You have +1 AT.
------------------------------
Level 25+: You may attack any
number of times on
your turn.","Art by @KrystalFlamingo

Unlocked via dealing 250,000 damage to Delirium during the original Kickstarter."
Sacred Heart,,FALSE,Passive Items (44),"When you would roll
a 1, you may change
the result to a 6.
------------------------------
""Righteous ones, be glad in
the Lord and rejoice!  Shout
for joy, all of you who are
true in heart!""
Psalm 32:11","Art by @TikaratheMew

Unlocked via dealing 400,000 damage to Delirium during the original Kickstarter."
Curse of the Tower,,TRUE,Passive Items (44),"Each time you take
damage, roll-

1-3: Each other player
takes 1 damage.
------------------------------
4-6: Deal 1 damage
to a monster.",Art by TAR_HEAD
Bob's Brain,,FALSE,Passive Items (44),"Each time you declare
an attack, roll-

1-2: Deal 1 damage to
a monster.
------------------------------
3-4: Deal 1 damage to
a player.
------------------------------
5-6: Take 1 damage.",Art by TAR_HEAD
Guppy's Collar,,FALSE,Passive Items (44),"Each time you
would die, roll-

1-3: Prevent death. If it's
your turn, cancel everything
that hasn't resolved and
end your turn..
------------------------------
-Guppy-",Art by @TikaratheMew
The Dead Cat,,FALSE,Passive Items (44),"This item starts with 9
counters on it.
------------------------------
If you would take damage
while this has counters on it,
remove that many counters
and prevent that much damage.
------------------------------
-Guppy-",Art by @TikaratheMew
Baby Haunt,,FALSE,Passive Items (44),"Monsters have
+1 DC on your turn.
------------------------------
When you die, before
paying penalties,
give this to another
player.",Art by @rojen241
Daddy Haunt,,FALSE,Passive Items (44),"If you would take any
amount of damage, take
that much damage
+1 instead.
------------------------------
When you die, before
paying penalties, give
this to another player.",Art by @rojen241
The Chest,,FALSE,Soul Item (1),"If this would be destroyed,
it becomes a soul instead.
------------------------------
""I assure you: Whoever does
not welcome the kingdom
of God as a child will
never enter it.""
Luke 18:17

(+1 soul)",Art by @TikaratheMew
Pandora's Box,,FALSE,Soul Item (1),"↷: Destroy this. If
you do, roll-

1: Gain 1¢.  2: Gain 6¢.
------------------------------
3: Kill a monster.
------------------------------
4: Loot 3.  5: Gain 9¢.
------------------------------
6: This becomes
a soul. Gain it.

(+1 soul)",Art by @TikaratheMew
Two of Clubs,,FALSE,Active Items (40),"↷: Choose a player.
Till end of turn,
if they would loot any
number of loot cards,
they loot double that
number instead.",Art by TAR_HEAD
Mr. Boom,,FALSE,Active Items (40),"↷: Deal 1 damage
to a monster.
------------------------------
""The Lord said, I will wipe off the
face of the Earth: Man, whom I
created, together with the animals,
creatures that crawl, for I regret
that I made them.""
Genesis 6:7",Art by @TikaratheMew                                         
Tech X,,FALSE,Active Items (40),"↷: Put a counter
on this.
------------------------------
$: Remove 3 counters
from this:

Kill a player
or monster.",Art by TAR_HEAD
Razor Blade,,TRUE,Active Items (40),"↷: Deal 1
damage to
a player.
------------------------------
""Ye shall not make any cuttings
in your flesh for the dead, nor
print any marks upon you.""
Leviticus 19:28",Art by @TikaratheMew
Mini Mush,,FALSE,Active Items (40),"↷: Subtract up
to 2 from
a roll.
------------------------------
""The meek shall inhereit the Earth;
and shall delight themselves in
the abundance of peace.""
Psalm 37:11",Art by TAR_HEAD
Lucky Foot,,FALSE,Active Items (40),"↷: Add up to 2 to
a non-attack
roll.
------------------------------
""She wet my feet with her tears
and wiped them dry with her hair.""
Luke 7:44",Art by @TikaratheMew                                         
Spoon Bender,,FALSE,Active Items (40),"↷: Add 1 to
a roll.
------------------------------
""Whoever turns to mediums or
spiritists and prostitutes himself
with them, I will turn against that
person and cut him off from
his people.""
Leviticus 20:6",Art by @TikaratheMew                                         
Flush!,,FALSE,Active Items (40),"↷: Choose one-

•Put each monster
not being attacked
on the bottom of
the monster deck.
------------------------------
•Put each shop item on
the bottom of the
treasure deck.",Art by TAR_HEAD
Monster Manual,,TRUE,Active Items (40),"↷: Choose
a monster.
The active player
must attack that
monster this turn
if able.",Art by TAR_HEAD
The Shovel,,FALSE,Active Items (40),"↷: Put a non-event
monster card in
discard on top of
the monster deck.",Art by TAR_HEAD
The D20,,FALSE,Active Items (40),"↷: Reroll an item.
(Destroy that
item and replace it
with the top card of
the treasure deck.)",Art by @TikaratheMew
The D100,,FALSE,Active Items (40),"↷: Roll-

1: Loot 1.  2: Loot 2.
------------------------------
3: Gain 3¢.  4: Gain 4¢.
------------------------------
5: Gain +1 HP till
end of turn.
------------------------------
6: Gain +1 AT till
end of turn.",Art by @TikaratheMew
Potato Peeler,,FALSE,Active Items (40),"↷: Put the top
card of each
deck into
discard.",Art by TAR_HEAD
Sack Head,,FALSE,Active Items (40),"↷: Look at the top
card of a deck.
You may put that
card on the bottom
of that deck.",Art by @TikaratheMew
Bum Friend,,FALSE,Active Items (40),"↷: Loot 1, then
put a loot card
from your hand
on top of the
loot deck.",Art by @KrystalFlamingo
Compost,,FALSE,Active Items (40),"↷: The next time
a player would
loot, they loot from
the top of the loot
discard instead.",Art by TAR_HEAD
Diplopia,,FALSE,Active Items (40),"↷: Choose a 
non-eternal
passive item. This
becomes a copy of
that item till
end of turn.",Art by TAR_HEAD
The Battery,,FALSE,Active Items (40),"↷: Recharge
another item.
------------------------------
""Then we shall not turn back
from you; revive us, and we
will call upon your name.""
Psalm 80:18",Art by @TikaratheMew
Blank Card,,FALSE,Active Items (40),"↷: The next time
you play a non-
trinket, non-ambush
loot card this
turn, copy it.",Art by TAR_HEAD
Placebo,,FALSE,Active Items (40),"↷: This copies
a ↷ ability
of a non-
eternal item.",Art by @TikaratheMew                                         
Mom's Bra,,FALSE,Active Items (40),"↷: Choose a
monster or
player. The next
instance of damage
they take this trun
is reduced to 1.",Art by TAR_HEAD
No!,,FALSE,Active Items (40),"↷: Cancel the
↷ or $ ability
of an item.
------------------------------
""Even a fool, when he keeps
silent, is considered wise.""
Proverbs 17:28",Art by TAR_HEAD
Host Hat,,FALSE,Active Items (40),"↷: Prevent the
next 1 damage you
would take this turn.
When you prevent
damage this way,
deal 1 damage to
another player.",Art by @TikaratheMew
Decoy,,FALSE,Active Items (40),"↷: Swap this with
a non-eternal
item another
player controls.",Art by @TikaratheMew
Sack of Pennies,,FALSE,Active Items (40),"↷: Gain 1¢.
------------------------------
Each time a player
rolls a 1, you may
recharge this.",Art by TAR_HEAD
Jawbone,,FALSE,Active Items (40),"↷: Steal 3¢ from
a player.
------------------------------
""With a donkey's jawbone I
have killed a thousand men.""
Judges 15:16",Art by TAR_HEAD
Boomerang,,FALSE,Active Items (40),"↷: Choose another
player. Steal
a loot card
from them at
random.",Art by TAR_HEAD
Godhead,,FALSE,Active Items (40),"↷: Change the
result of a dice
roll to a
1 or 6.
------------------------------
""I and the Father are one.""
John 10:30","Art by @TikaratheMew

Unlocked via The Void stretch goal in the original Kickstarter."
Modeling Clay,,FALSE,Active Items (40),"↷: Choose a
non-eternal
item. This becomes
a copy of that item.
(This change is indefinite.)","Art by TAR_HEAD

This card is a reference to the video game, The Legend of Bum-bo."
Chaos,,FALSE,Active Items (40),"↷: Each player
gives their
hand to the player
to their left.",Art by TAR_HEAD
Remote Detonator,,TRUE,Active Items (40),"↷: Each player
votes on an
item in play. Destroy
the item with the most
votes.  If there is a tie,
nothing happens.",Art by TAR_HEAD
Crystal Ball,,FALSE,Active Items (40),"↷: Before a dice
is rolled, choose
a number.  If the
next roll is that
number, loot 3.",Art by TAR_HEAD
Mystery Sack,,FALSE,Active Items (40),"↷: Roll-

1-2: Loot 1.
------------------------------
3-4: Gain 4¢.",Art by TAR_HEAD
Book of Sin,,FALSE,Active Items (40),"↷: Roll-

1-2: Gain 1¢.
------------------------------
3-4: Loot 1.
------------------------------
5-6: Gain +1 HP
till end of turn.",Art by TAR_HEAD
Glass Cannon,,FALSE,Active Items (40),"↷: Destroy another
item, then roll-

1-5: Destroy this
and loot 2.
------------------------------
6: Recharge this.",Art by TAR_HEAD
Guppy's Head,,FALSE,Active Items (40),"↷: Choose a player.
That player gives
you a loot card.
------------------------------
-Guppy-
""He shall lay his hand on the
head of the burnt offering, that
it may be accepted for him to
make atonement on his behalf.""
Leviticus 1:4","Art by @TikaratheMew

Unlocked by the community through an ARG played before the game's launch, along with Guppy's Paw and Guppy's Tail."
Guppy's Paw,,FALSE,Active Items (40),"↷: Pay 1 HP. If you do,
choose a player.
Prevent the next instance
of up to 2 damage they
would take this turn.
------------------------------
-Guppy-","Art by @TikaratheMew

Unlocked by the community through an ARG played before the game's launch, along with Guppy's Head and Guppy's Tail."
Mom's Shovel,,FALSE,One Use Items (5),"This enters play
deactivated.
------------------------------
↷: Destroy this.
If you do,
steal a soul from
another player.",Art by @KrystalFlamingo
Chaos Card,,FALSE,One Use Items (5),"↷: Destroy this. If
you do, choose one-

•Kill a player
or monster.
------------------------------
•Destroy an
item or soul.",Art by TAR_HEAD
Box!,,FALSE,One Use Items (5),"↷: Destroy this.
If you do,
you may play any
number of additional
loot cards till
end of turn.",Art by @TikaratheMew
The D4,,FALSE,One Use Items (5),"↷: Destroy this. If
you do, choose a
player. They reroll
each item they control.
(Destroy those items and
replace each with the top
card of the treasure deck.)",Art by @TikaratheMew
The Poop,,FALSE,Paid Items (10),"Each time you take
damage, put a counter
on this.
------------------------------
$: Remove a counter
from this:

Prevent the next 1 damage
you would take this turn.",Art by @KrystalFlamingo
Contract from Below,,FALSE,Paid Items (10),"$: Destroy 2 items
you control:

Steal a non-eternal
item from any player.",Art by TAR_HEAD
Donation Machine,,FALSE,Paid Items (10),"$: Give another
non-eternal item
you control to
another player:

Gain 8¢.",Art by @TikaratheMew
Battery Bum,,FALSE,Paid Items (10),"$: Pay 4¢:

Recharge an
item.",Art by @KrystalFlamingo
Pay to Play,,FALSE,Paid Items (10),"$: Pay 10¢:

Steal a non-eternal
item a player controls.
------------------------------
""Out of the heart of men,
evil thoughts come, sexual
immorality, stealing, murder.""
Mark 7:21",Art by TAR_HEAD
Golden Razor Blade,,TRUE,Paid Items (10),"$: Pay 5¢:

Deal 1 damage
to a monster
or player.",Art by @TikaratheMew
Portable Slot Machine,,FALSE,Paid Items (10),"$: Pay 3¢: Roll-

1-2: Loot 1.
------------------------------
3-4: Gain 4¢.",Art by TAR_HEAD
Smelter,,FALSE,Paid Items (10),"$: Discard
a loot card:

Gain 3¢.",Art by TAR_HEAD
,Expansions,,,,
,Gold Box,,,,
The Missing Page,,FALSE,Passive Items (44),"Each time a player
would roll a 5,
you may force that
player to reroll it.",Art by TAR_HEAD
More Options,,FALSE,Passive Items (44),"At the start of your
turn, you may look
at the top 2 cards
of the treasure deck.
------------------------------
You may purchase an
additional time on
your turn.",Art by TAR_HEAD
Skeleton Key,,FALSE,Passive Items (44),"You may attack up
to 99 times on
your turn.
------------------------------
""A star fell from Heaven unto
the Earth: And the key to the
bottomless pit was given.""
Revelation 9:1",Art by TAR_HEAD
Placenta,,FALSE,Passive Items (44),"+1 HP
------------------------------
You take no combat
damage on attack
rolls of 4.",Art by TAR_HEAD
Mom's Knife,,FALSE,Passive Items (44),"+1 AT
------------------------------
Each time you deal combat
damage to a monster on
an attack roll of 6,
deal 1 damage to each
other monster.",Art by @TikaratheMew
Infamy,,FALSE,Passive Items (44),"You take no
combat damage on
attack rolls of 1.",Art by @TikaratheMew
9 Volt,,FALSE,Passive Items (44),"At the end of
your turn, you may
recharge up to 2
items you control.",Art by @TikaratheMew
Soy Milk,,FALSE,Passive Items (44),"Monsters have
+1 DC on your turn.
------------------------------
Each time you deal combat
damage to a monster,
deal 1 damage to each
other monster.",Art by TAR_HEAD
Guppy's Tail,,FALSE,Passive Items (44),"Loot +1 during
your loot step.
------------------------------
At the end of your
turn, discard a
loot card.
------------------------------
-Guppy-","Art by @TikaratheMew

Unlocked by the community through an ARG played before the game's launch, along with Guppy's Head and Guppy's Paw."
Ouija Board,,FALSE,Active Items (40),"↷: Reveal the top 4
cards of the monster
deck. You may put an event
card revealed this way in
a monster slot not being
attacked. Put the rest on
the bottom of the dek
in a random order.",Art by TAR_HEAD
Fruitcake,,FALSE,Active Items (40),"↷: Roll-

1: Loot 1.  2-3: Gain 1¢.
------------------------------
4-6: Look at the top
card of a deck.
------------------------------
Each time a player rolls the
same result twice in a row on
the same turn, recharge this.",Art by @TikaratheMew
"I Can't Believe It's Not
Butter Bean",,FALSE,Active Items (40),"↷: Cancel the
↷ or $ ability
of an item or a loot
being played that
targets an item
or dice roll you
control.",Art by @KrystalFlamingo
The Butter Bean,,FALSE,Active Items (40),"↷: Roll-

6: Recharge this.",Art by TAR_HEAD
Library Card,,FALSE,Active Items (40),"↷: Play an
additional
loot card
this turn.",Art by TAR_HEAD
The Bible,,FALSE,Active Items (40),"↷: Choose one-

•Destroy a curse.
------------------------------
•Cancel your attack.
------------------------------
•Kill a monster named
Mom!, Mom's Heart!,
or It Lives!",Art by TAR_HEAD
Crooked Penny,,FALSE,Active Items (40),"↷: Choose a player
then roll-

1-3: Double the number
of ¢ they have.
------------------------------
4-6: That player
loses all ¢.",Art by @TikaratheMew
Lemon Mishap,,FALSE,Active Items (40),"↷: Till end of
turn, each
time a player rolls
an attack roll of 1
or 2, deal 1 damage
to each monster.",Art by TAR_HEAD
Plan C,,FALSE,One Use Items (5),"↷: Destroy this.
If you do, kill
a monster. At the
end of the turn,
kill all players.",Art by TAR_HEAD
Dad's Key,,FALSE,Paid Items (10),"$: Discard a
loot card:

Put the top card of
the monster deck in
a monster slot not
being attacked.",Art by TAR_HEAD
Succubus,,FALSE,Paid Items (10),"$: Pay 3¢:

You may play up
to 2 additional
loot cards
this turn.",Art by @TikaratheMew
,Plus,,,,
Polyphemus,,FALSE,Passive Items (44),"+2 AT
------------------------------
Monsters have
+1 DC on your turn.",Art by @KrystalFlamingo
The Wiz,,FALSE,Passive Items (44),"Monsters have
+1 DC on your turn.
------------------------------
Each time you deal
combat damage, deal
1 damage to another
monster or player.",Art by TAR_HEAD
Euthanasia,,FALSE,Passive Items (44),"Each time you roll
the same result twice
in a row on an attack
roll on the same turn,
kill the monster
you're attacking.",Art by TAR_HEAD
Head of the Keeper,,FALSE,Passive Items (44),"Each time you deal
damage, gain 1¢.
------------------------------
Each time you kill a
monster or player,
gain 2¢.",Art by @KrystalFlamingo
Cursed Eye,,FALSE,Passive Items (44),"Combat damage you
deal on attack rolls
of 6 is increased by 3.
------------------------------
When you roll an attack
roll of 1, end your turn.
Cancel everything that
hasn't resolved.",Art by TAR_HEAD
Mom's Eye Shadow,,TRUE,Passive Items (44),"If another player
declares an attack
on a monster, you may
choose which monster
they attack.",Art by TAR_HEAD
Lard,,FALSE,Passive Items (44),"+2 HP
------------------------------
Each time you take
damage, discard a
loot card.",Art by TAR_HEAD
Rubber Cement,,FALSE,Passive Items (44),"Each time you miss an
attack roll, roll-

1-3: Deal 1 damage
to a monster
or player.
",Art by @KrystalFlamingo
P.H.D.,,FALSE,Passive Items (44),"You may add or
subtract 1 from any
of your non-attack
rolls.",Art by TAR_HEAD
Telepathy for Dummies,,FALSE,Passive Items (44),"At the start of your
turn, roll-

You may change the
result of your next
roll this turn to
this result.",Art by TAR_HEAD
Daddy Long Legs (treasure),,FALSE,Passive Items (44),"At the start of your
turn, deal 1 damage
to a monster or
player.",Art by @KrystalFlamingo
Abaddon,,FALSE,Passive Items (44),"+3 AT
------------------------------
Each time you take
damage, die!",Art by @KrystalFlamingo
Hourglass,,FALSE,Passive Items (44),"Each time a player
rolls a 2, you may
deactivate an item.",Art by @KrystalFlamingo
Game Breaking Bug!,,FALSE,Passive Items (44),"Each time a player
rolls a 1, you may
reroll an item
they control.",Art by TAR_HEAD
1-Up,,FALSE,Passive Items (44),"When you would die on
your turn, destroy this.
If you do, prevent death,
heal to full HP, and cancel
your attack. You may
attack an additional
time this turn.",Art by TAR_HEAD
Magnet,,FALSE,Passive Items (44),"Each time another
player gains ¢, they
must give you 1¢.
------------------------------
""The rich rules over the
poor, and the borrower is
the slave of the lender.""
Proverbs 22:7",Art by TAR_HEAD
Guppy's Eye,,FALSE,Passive Items (44),"Each other player
plays with their
hand revealed.
------------------------------
-Guppy-",Art by @TikaratheMew
Mama Haunt,,FALSE,Passive Items (44),"Your character
doesn't recharge during
your recharge step.
------------------------------
When you die, before
paying penalties, give
this to another player.",Art by @rojen241
Libra,,FALSE,Active Items (40),"↷: Change the
result of a dice
roll to a 3.",Art by @KrystalFlamingo
Smart Fly,,FALSE,Active Items (40),"↷: Look at the top
card of a deck. You
may put it into discard
or put it back on top.
------------------------------
Each time you take
damage, you may
recharge this.",Art by @KrystalFlamingo
20/20,,FALSE,Active Items (40),"↷: Add up to 2 to
an attack roll.
------------------------------
""The eye is the lamp of the body.
If your vision is clear, your whole
body will be full of light.""
Matthew 6:22",Art by @TikaratheMew
Rainbow Baby,,FALSE,Active Items (40),"↷: Choose one-

•Each player loots 1.
------------------------------
•Each player gains 2¢.
------------------------------
•Each player takes
1 damage.",Art by @KrystalFlamingo
Distant Admiration,,FALSE,Active Items (40),"↷: Choose another
player. They give
you a loot card, reveal
it, then you must play
that loot card if able.
This doesn't use a
loot play.",Art by @KrystalFlamingo
Black Candle,,FALSE,Active Items (40),"↷: Reveal the top 6
cards of the monster
deck. Give any curse cards
revealed to the player or
players of your choosing.
Put the rest on the bottom
of the deck in any order.",Art by TAR_HEAD
Red Candle,,FALSE,Active Items (40),"↷: Before a dice is
rolled, choose
a number. Till end
of turn, each time
that number is rolled,
deal 1 damage to a
monster or player.",Art by TAR_HEAD
Mutant Spider,,FALSE,Active Items (40),"↷: The next time a
player would roll a
dice, they instead roll
4 dice. You choose
one of the rolls
as the result.",Art by @KrystalFlamingo
Head of Krampus,,FALSE,Active Items (40),"↷: Roll-

1-3: Deal 1 damage
to each player.
------------------------------
4-6: Deal 1 damage
to each monster.",Art by @TikaratheMew
Forget Me Now,,FALSE,One Use Items (5),"↷: Destroy this.
If you do, each
player destroys a
soul they control.",Art by TAR_HEAD
Divorce Papers,,FALSE,One Use Items (5),"↷: Destroy this.
If you do,
choose another player.
They give you half of
their ¢ and loot cards
rounded down, then
give you an item.",Art by @TikaratheMew
Athame,,FALSE,Paid Items (10),"$: Discard a
loot card:

Force a player
to discard 2
loot cards.",Art by @TikaratheMew
,Requiem,,,,
Abel,,TRUE,Passive Items (44),"Each time you deal combat
damage to a monster, roll-

4-6: Deal 1 damage to
another monster or player.
------------------------------
""And He said, what hast thou done?
The voice of thy brother's blood
crieth unto Me from the ground.""
Genesis 4:10",Art by @Yazawa_Akio
Alabaster Box,,FALSE,Passive Items (44),"At the start of your turn,
put a counter on this.
------------------------------
When the 2nd counter is
put on this, gain 10¢.
------------------------------
When the 4th counter is
put on this, loot 4.
------------------------------
When the 6th counter is
put on this, gain +2 treasure.",Art by @NY_Sagittarius
Backstabber,,FALSE,Passive Items (44),"You may attack players
who control more souls
than you. They have 3+ DC
for the attack.
------------------------------
Each time you kill a
player, loot 1.",Art by @HamBerry_art
Ball of Bandages,,FALSE,Passive Items (44),"You take no combat
damage on attack
rolls of 3.
------------------------------
""Come, let us return to the
Lord. For He has torn us, but He
will heal us; He has wounded
us, but He will bandage us.""
Hosea 6:1",Art by @Yazawa_Akio
Blood Puppy,,FALSE,Passive Items (44),"Each time a player dies,
this levels up.
------------------------------
Level 4+: You have +1 AT.
------------------------------
Level 8+: At the start of your
turn, deal 1 damage to
a monster or player.
------------------------------
Level 10+: At the start of your
turn, roll- 1-3: You die.",Art by @HamBerry_art
Bobby Bomb,,FALSE,Passive Items (44),"When you gain or purchase
this, reveal the top 10 cards
of the loot deck. Put each
card with ""Bomb"" in its name
in your hand and the rest on
the bottom of the loot deck.
------------------------------
At the start of your turn,
put a card with ""Bomb"" in its
name from the loot discard
into your hand.",Art by @HamBerry_art
Chocolate Milk,,FALSE,Passive Items (44),"At the start of your turn,
put a counter on this. Then,
if this has 3+ counters,
remove all counters from
this and deal 1 damage to
a monster or player.
------------------------------
While this has 2 counters
on it, you have +1 AT.",Art by @HamBerry_art
Consolation Prize,,FALSE,Passive Items (44),"At the start of your
turn, loot x, where x
is the number of souls
the player with the
most souls controls
minus the number of
souls you control.",Art by @Yazawa_Akio
Damocles,,FALSE,Passive Items (44),"If you would
gain any number of
treasures, instead
gain that many +1.
------------------------------
When you die, before paying
penalties, destroy this.",Art by @Yazawa_Akio
Fire Mind,,FALSE,Passive Items (44),"Combat damage you
deal is doubled on
attack rolls of 6.
------------------------------
Combat damage you
take is doubled on
attack rolls of 1.",Art by @HamBerry_art
